No.,Product / Topic,Difficulty,Type,Question,Option A,Option B,Option C,Option D,Correct Answer
41,Grouts,Medium,Numerical,"For HW210, 1 kg of powder is mixed with how much clean water? (Answer in ml)",100-150 ml,200-250 ml,350-400 ml,600-700 ml,350-400 ml
42,Grouts,Hard,Numerical,What is the compressive strength of HW210 Cement Grout at 28 days? (Answer in MPa),3-4 MPa,7-8 MPa,15-20 MPa,85-95 MPa,7-8 MPa
43,Grouts,Hard,Numerical,"After applying HW211 Epoxy Grout, how long should pass before subjecting the area to further usage? (Answer in hours)",12 hours,24 hours,48 hours,72 hours,48 hours
44,HW20X Tile Fix,Medium,MCQ,What are the primary advantages of using Tile Adhesive over conventional cement mix,Self-curing,Higher tensile adhesion,No Shrinkage,All the above,D
45,Application,Hard,MCQ,Why spacers are important between tiles?,Proper joint filling,For easy tile fixing,Accomodation of thermal movement of Tiles,Option A & C,D
46,Application,Easy,MCQ,What is the irrelevant tool for Tile fixing,Notched Trowel,Concrete Pump,Electrical stirrer,Rubber Hammer,B
47,Grout,Medium,Yes/No,Can HW211 be applied on wet tile joints ,Yes,No,,,No
48,HW20X Tile Fix,Hard,Numerical,What is the deformability value of S2 variant of HW204?,0 to 2.5mm,2.5 to 5mm,More than 5mm,None of the above,C
49,HW20X Tile Fix,Medium,MCQ,What variant of Tilefix should be recommended for External Wall areas,HW201,HW202,HW203,HW204,C
50,HW20X Tile Fix,Hard,MCQ,What variant of Tilefix should be recommended for fixing tiles on steel staircase,HW204 S2,HW205,HW206,HW204 S1,B
51,HW20X Tile Fix,Hard,MCQ,What is the difference between HW204 & HW206?,Tensile adhesion,Colour,Type difference as per IS15477,All the above,B
